no,transformed,original-for,transformation
19,sampe,sampai,sound-alter
29,dgn,dengan,disemvoweling
32,org,orang,disemvoweling
34,karna,karena,disemvoweling
35,tu,itu,disemvoweling
39,haha,hahaha,shorten
40,jd,jadi,disemvoweling
42,jg,juga,disemvoweling
47,resto,restoran,shorten
48,jgn,jangan,disemvoweling
49,trus,terus,disemvoweling
54,mba,mbak,shorten
58,rs,rumah sakit,acronym
59,sm,sama,disemvoweling
60,dg,dengan,disemvoweling
61,tdk,tidak,disemvoweling
62,sdh,sudah,disemvoweling
63,makasih,terima kasih,shorten
67,jln,jalan,disemvoweling
71,rm,rumah makan,acronym
73,skrg,sekarang,disemvoweling
74,krn,karena,disemvoweling
75,blm,belum,disemvoweling
76,tetep,tetap,sound-alter
79,kemana,ke mana,space-dash
80,yaaa,ya,sound-alter
82,malem,malam,sound-alter
83,sy,saya,disemvoweling
84,komplek,kompleks,shorten
86,cm,cuma,disemvoweling
88,segini,sebegini,shorten
92,bs,bisa,disemvoweling
94,adek,adik,sound-alter
95,kab,kabupaten,acronym
97,mulu,melulu,shorten
99,ngantuk,mengantuk,affixation
101,hahahaha,hahaha,sound-alter
102,milih,memilih,affixation
103,ntar,sebentar,shorten
104,seneng,senang,sound-alter
105,belom,belum,sound-alter
108,ongkir,ongkos kirim,acronym
110,males,malas,sound-alter
111,sholat,salat,sound-alter
115,kemaren,kemarin,sound-alter
117,ngapain,sedang apa,affixation
119,nyari,mencari,affixation
120,kec,kecamatan,acronym
121,aq,aku,sound-alter
124,bio,biodata,acronym
125,kesini,ke sini,space-dash
126,dpt,dapat,disemvoweling
127,tpi,tetapi,disemvoweling
128,asik,asyik,shorten
129,dlu,dulu,disemvoweling
130,ngerti,mengerti,affixation
131,bg,bang,disemvoweling
133,cepet,cepat,sound-alter
134,inget,ingat,sound-alter
135,warkop,warung kopi,acronym
137,1009mb,1009 mb,space-dash
139,maen,main,sound-alter
141,dirumah,di rumah,space-dash
144,diatas,di atas,space-dash
145,msh,masih,disemvoweling
146,disana,di sana,space-dash
147,ad,ada,disemvoweling
148,ustadz,ustaz,shorten
151,dejavu,deja vu,space-dash
152,26c,26 c,space-dash
153,eu,eropa,acronym
154,kl,kalau,disemvoweling
155,kerjaan,pekerjaan,shorten
158,trs,terus,disemvoweling
160,27c,27 c,space-dash
161,prov,provinsi,acronym
162,25c,25 c,space-dash
163,kasian,kasihan,shorten
166,dri,dari,disemvoweling
170,jdi,jadi,disemvoweling
174,28c,28 c,space-dash
175,makeup,make up,space-dash
177,st,stasiun,acronym
180,disaat,di saat,space-dash
181,jan,januari,acronym
182,masi,masih,shorten
183,td,tadi,disemvoweling
184,dibawah,di bawah,space-dash
186,teman2,teman-teman,space-dash
187,5kmh,5 kmh,space-dash
188,hmmm,hmm,shorten
189,anak2,anak-anak,space-dash
190,kaltim,kalimantan timur,acronym
191,ngobrol,mengobrol,affixation
192,aj,saja,shorten
193,laper,lapar,disemvoweling
194,1008mb,1008 mb,space-dash
195,fb,facebook,acronym
196,orang2,orang-orang,space-dash
197,cowo,cowok,shorten
198,insyaallah,insya allah,space-dash
199,24c,24 c,space-dash
201,ngajak,mengajak,affixation
206,dll,dan lain-lain,acronym
207,mm,hmm,shorten
210,fm,football manager,acronym
212,1011mb,1011 mb,space-dash
217,okay,oke,sound-alter
218,slalu,selalu,disemvoweling
219,keliatan,kelihatan,shorten
220,cobain,mencoba,affixation
223,baper,bawa perasaan,acronym
224,ngerasa,merasa,affixation
225,huhu,huhuhu,shorten
226,29c,29 c,space-dash
228,adha,ada,sound-alter
229,diantara,di antara,space-dash
231,tiba2,tiba-tiba,space-dash
232,komen,komentar,shorten
234,pinter,pintar,sound-alter
235,ultah,ultang tahun,acronym
237,nemu,menemukan,affixation
239,ilang,hilang,shorten
240,smoga,semoga,disemvoweling
241,yaallah,ya allah,space-dash
242,nambah,menambah,affixation
247,diluar,di luar,space-dash
248,dj,disk jokey,acronym
252,bodo,bodoh,shorten
253,ato,atau,sound-alter
254,tl,timeline,acronym
255,mager,malas bergerak,acronym
256,wkwkwkw,hahaha,sound-alter
258,hj,haji,disemvoweling
259,thn,tahun,disemvoweling
260,shalat,salat,sound-alter
262,ttg,tentang,disemvoweling
263,jga,juga,disemvoweling
264,mt,mati,disemvoweling
266,ttp,tetap,disemvoweling
267,smua,semua,disemvoweling
268,bucin,budak cinta,acronym
269,hahah,hahaha,shorten
270,curhat,curahan hati,acronym
271,indo,indonesia,shorten
276,bkn,bukan,disemvoweling
277,poto,foto,sound-alter
279,sempet,sempat,sound-alter
280,jkt,jakarta,disemvoweling
281,nobar,nonton bareng,acronym
282,skrng,sekarang,disemvoweling
284,bosen,bosan,disemvoweling
285,sebenernya,sebenarnya,sound-alter
287,lbh,lebih,disemvoweling
288,kepikiran,terpikir,affixation
289,des,desember,acronym
290,syg,sayang,disemvoweling
291,gara2,gara-gara,space-dash
292,barokah,berkah,sound-alter
294,pingin,ingin,sound-alter
295,sama2,sama-sama,space-dash
301,warunk,warung,sound-alter
303,nyobain,mencoba,affixation
304,jateng,jawa tengah,acronym
308,ngumpul,berkumpul,affixation
309,0kmh,0 kmh,space-dash
310,nemenin,menemani,affixation
313,alloh,allah,sound-alter
316,kedepan,ke depan,space-dash
321,kanwil,kantor wilayah,acronym
323,dtg,datang,disemvoweling
324,feb,februari,acronym
325,sumsel,sumatera selatan,acronym
329,kalbar,kalimantan barat,acronym
330,mikirin,memikirkan,affixation
333,kesana,ke sana,space-dash
334,iyaaa,iya,sound-alter
337,30c,30 c,space-dash
338,bgst,bangsat,disemvoweling
339,nnti,nanti,disemvoweling
340,disitu,di situ,space-dash
341,mw,mau,sound-alter
342,dipake,dipakai,sound-alter
343,nov,november,acronym
345,pp,pulang-pergi,acronym
347,satu2nya,satu-satunya,space-dash
352,ngerasain,merasakan,affixation
353,sya,saya,disemvoweling
354,hrs,harus,disemvoweling
355,23c,23 c,space-dash
357,postingan,post,shorten
360,plg,pulang,disemvoweling
361,ayok,ayo,sound-alter
363,byk,banyak,disemvoweling
364,sambel,sambal,sound-alter
365,ijo,hijau,sound-alter
368,apa2,apa-apa,space-dash
369,pagi2,pagi-pagi,space-dash
371,berfikir,berpikir,sound-alter
372,didalam,di dalam,space-dash
374,makasi,terima kasih,shorten
375,tdr,tidur,disemvoweling
376,ngeluh,mengeluh,affixation
380,bukber,buka bersama,acronym
381,ditempat,di tempat,space-dash
385,kerasa,terasa,affixation
386,gegara,gara-gara,shorten
387,serem,seram,sound-alter
388,kp,kerja praktek,acronym
389,mutualan,mutual,affixation
390,31c,31 c,space-dash
395,yaaaa,ya,sound-alter
396,dimanapun,di mana pun,space-dash
398,nyoba,mencoba,affixation
399,hahahah,hahaha,sound-alter
401,gemes,gemas,sound-alter
402,hahahahaha,hahaha,sound-alter
403,nyo,ayo,sound-alter
405,didepan,di depan,space-dash
407,sultra,sulawesi tenggara,acronym
409,alay,anak layangan,acronym
412,pesen,pesan,sound-alter
413,2x,dua kali,shorten
416,kg,kilogram,acronym
417,ska,suka,disemvoweling
418,suka2,suka-suka,space-dash
419,wkwkkw,hahaha,sound-alter
421,ruko,rumah toko,acronym
422,tida,tidak,shorten
423,hape,handphone,acronym
425,skali,sekali,disemvoweling
427,semalem,semalam,sound-alter
429,emng,emang,disemvoweling
430,kito,kita,sound-alter
432,halu,halusinasi,shorten
433,jt,juta,disemvoweling
435,akutu,aku itu,shorten
436,mmg,memang,disemvoweling
437,klu,kalau,disemvoweling
441,yukk,ayo,sound-alter
443,ntah,entah,shorten
447,orng,orang,disemvoweling
450,app,aplikasi,acronym
451,jak,jakarta,acronym
452,pakek,pakai,sound-alter
455,bru,baru,disemvoweling
456,ori,original,shorten
457,pilpres,pemilihan presiden,acronym
458,sholeh,saleh,sound-alter
460,orangtua,orang tua,space-dash
461,atjeh,aceh,sound-alter
464,kerjasama,kerja sama,space-dash
466,ngapa,mengapa,affixation
467,tb,tiba,disemvoweling
469,ngerjain,mengerjakan,affixation
470,cp,capai,disemvoweling
472,pr,pekerjaan rumah,acronym
476,doain,doakan,affixation
477,ulakkarang,ulak karang,space-dash
478,sumut,sumatera utara,acronym
479,17cm,17 cm,space-dash
480,spt,seperti,disemvoweling
485,jatim,jawa timur,acronym
487,aktifitas,aktivitas,sound-alter
490,ap,apa,disemvoweling
495,nahan,menahan,affixation
496,1017mb,1017 mb,space-dash
498,ayoo,ayo,sound-alter
499,hiya,hai,sound-alter
504,drpd,daripada,disemvoweling
505,pantes,pantas,sound-alter
508,1012mb,1012 mb,space-dash
510,nego,negosiasi,shorten
514,sblm,sebelum,disemvoweling
515,komp,komputer,acronym
516,dl,dulu,disemvoweling
517,lt,lantai,disemvoweling
519,pk,pakai,disemvoweling
522,ijin,izin,sound-alter
523,bsk,besok,disemvoweling
524,mk,maka,disemvoweling
525,sodara,saudara,sound-alter
527,blum,belum,disemvoweling
531,idup,hidup,shorten
532,usa,usah,shorten
534,bem,badan eksekutif mahasiswa,acronym
535,pemprov,pemerintah provinsi,acronym
536,tmn,teman,disemvoweling
537,dijalan,di jalan,space-dash
539,pkl,pukul,disemvoweling
540,200rb,"""200.000""",shorten
543,rmh,rumah,disemvoweling
544,yaampun,ya ampun,space-dash
545,pendikar,pendekar,sound-alter
551,sj,saja,disemvoweling
554,segitu,sebegitu,shorten
555,lngsng,langsung,disemvoweling
556,tsb,tersebut,disemvoweling
559,ditengah,di tengah,space-dash
563,dy,dia,shorten
564,kw,kualitas,shorten
569,babybenz,baby benz,space-dash
570,dibidang,di bidang,space-dash
571,baik2,baik-baik,space-dash
573,1018mb,1018 mb,space-dash
574,yuks,ayo,sound-alter
576,apo,apa,sound-alter
578,ver,versi,shorten
580,tdi,tadi,disemvoweling
581,plt,pelaksana tugas,acronym
582,wkwkwkwkwk,hahaha,sound-alter
583,ortu,orang tua,acronym
585,hahaa,hahaha,sound-alter
586,kampoeng,kampung,sound-alter
588,fav,favorit,shorten
589,os,operating system,acronym
591,jw,jiwa,disemvoweling
592,liatin,lihatkan,affixation
593,pulo,pulau,sound-alter
594,catering,katering,sound-alter
595,taqwa,takwa,sound-alter
596,pb,point blank,acronym
598,bgtu,begitu,disemvoweling
599,muaro,muara,sound-alter
601,kira2,kira-kira,space-dash
603,apasih,apa,space-dash
606,nyambung,menyambung,affixation
607,kopdar,kopi darat,acronym
608,106m,106 m,space-dash
609,naek,naik,sound-alter
611,dibelakang,di belakang,space-dash
612,ud,sudah,shorten
614,dps,denpasar,disemvoweling
616,nabung,menabung,affixation
618,mancing,memancing,affixation
620,maksa,memaksa,affixation
629,wrna,warna,disemvoweling
634,bbrp,beberapa,disemvoweling
635,tkg,tukang,disemvoweling
636,bli,beli,disemvoweling
640,pulak,pula,sound-alter
641,uwu,lucu,sound-alter
642,yoo,ayo,sound-alter
643,lagii,lagi,sound-alter
648,cpt,cepat,disemvoweling
650,nyangka,menyangka,affixation
651,ayooo,ayo,sound-alter
652,mabok,mabuk,sound-alter
653,mantep,mantap,sound-alter
659,sllu,selalu,disemvoweling
661,siap2,siap-siap,space-dash
662,mkn,makan,disemvoweling
669,tlah,telah,disemvoweling
670,ajalah,saja-lah,shorten
675,rsia,rahasia,shorten
676,cmn,cuman,disemvoweling
679,ahhh,ah,sound-alter
681,sihh,sih,sound-alter
682,dongg,dong,sound-alter
683,disetiap,di setiap,space-dash
684,nelpon,menelepon,shorten
685,leh,lah,sound-alter
687,nich,ini,sound-alter
688,anying,anjing,sound-alter
689,biarin,biarkan,affixation
691,nyuruh,menyuruh,affixation
695,lp,lupa,disemvoweling
696,difoto,di foto,space-dash
698,kawan2,kawan-kawan,space-dash
707,mbk,mbak,disemvoweling
708,foto2,foto-foto,space-dash
709,benar2,benar-benar,space-dash
710,mrk,mereka,disemvoweling
711,dikala,di kala,space-dash
713,msih,masih,disemvoweling
730,kpn,kapan,disemvoweling
734,telp,telepon,shorten
736,mayan,lumayan,shorten
737,wkwkk,hahaha,sound-alter
740,diluaran,di luaran,space-dash
742,tlp,telepon,disemvoweling
743,ds,desa,disemvoweling
745,hadeh,aduh,sound-alter
747,nnton,menonton,disemvoweling
748,hayu,ayo,sound-alter
749,notif,notifikasi,shorten
750,jugak,juga,sound-alter
752,ibu2,ibu-ibu,space-dash
754,ngambil,mengambil,affixation
755,ihh,ih,sound-alter
756,bln,bulan,disemvoweling
757,temenku,temanku,sound-alter
762,putera,putra,sound-alter
763,nikahan,pernikahan,shorten
764,dpn,depan,disemvoweling
767,bangke,bangkai,sound-alter
769,wqwq,hahaha,sound-alter
771,laen,lain,sound-alter
773,wktu,waktu,disemvoweling
774,ank,anak,disemvoweling
775,yauda,iya sudah,shorten
777,bathin,batin,sound-alter
778,enakan,lebih enak,affixation
780,bdg,Bandung,disemvoweling
781,hati2,hati-hati,space-dash
782,yukkk,ayo,sound-alter
783,boong,bohong,sound-alter
784,ketemuan,bertemu,affixation
785,becanda,bercanda,sound-alter
786,pdhal,padahal,disemvoweling
788,laki2,laki-laki,space-dash
795,seringkali,sering kali,space-dash
801,yng,yang,disemvoweling
803,mreka,mereka,disemvoweling
804,nagih,menagih,affixation
807,yaah,yah,sound-alter
812,diliat,dilihat,sound-alter
813,hehehehe,hahaha,sound-alter
814,trima,terima,sound-alter
815,apaa,apa,sound-alter
816,waena,wah enak,sound-alter
817,macem,macam,sound-alter
818,ngantor,ke kantor,affixation
819,gratisss,gratis,sound-alter
827,kambingbuntutdaging,kambing buntut daging,space-dash
832,sll,selalu,disemvoweling
847,bete,bosan total,acronym
849,ngeselin,mengesalkan,affixation
856,ay,sayang,shorten
859,malming,malam minggu,acronym
863,pku,pusat kesehatan umum,acronym
866,sr,senior,acronym
868,fotoin,memotretkan,affixation
873,banyakin,dibanyaki,affixation
874,ngucapin,mengucapkan,affixation
877,mudah2an,mudah-mudahan,space-dash
887,lewati,melewati,shorten
888,tidor,tidur,sound-alter
890,oleh2,oleh-oleh,space-dash
891,hahahahah,hahaha,sound-alter
894,nyantai,bersantai,affixation
895,ngisi,mengisi,affixation
897,sndiri,sendiri,disemvoweling
898,ngetik,mengetik,affixation
899,cma,cuman,disemvoweling
900,kerjo,kerja,sound-alter
901,drg,dokter gigi,acronym
902,ngetweet,membuat tweet,affixation
906,nerima,menerima,affixation
907,maafin,maafkan,affixation
908,kraton,keraton,disemvoweling
909,gatel,gatal,sound-alter
911,jagain,menjaga,affixation
916,nyerah,menyerah,affixation
917,300rb,300 ribu,acronym
921,jelasin,menjelaskan,affixation
924,hal2,hal-hal,space-dash
927,nolak,menolak,affixation
932,japri,jalur pribadi,acronym
933,megang,memegang,affixation
934,spd,sarjana pendidikan,acronym
935,nasgor,nasi goreng,acronym
936,prnh,pernah,disemvoweling
937,ngumpulin,mengumpulkan,affixation
940,untk,untuk,disemvoweling
945,ngantri,mengantri,affixation
949,jingan,bajingan,shorten
952,ngejar,mengejar,affixation
955,slamat,selamat,disemvoweling
959,ponsel,telepon selular,acronym
960,petrus,pepet terus,acronym
962,jr,junior,acronym
965,grgr,gara-gara,disemvoweling
966,hrus,harus,disemvoweling
968,yahhh,yah,sound-alter
969,1x,sekali,shorten
970,haii,hai,sound-alter
971,bumil,ibu hamil,acronym
973,pede,percaya diri,acronym
974,10km,10 kilometer,acronym
977,dikamar,di kamar,space-dash
980,taon,tahun,sound-alter
981,fikiran,pikiran,sound-alter
982,lohh,lho,sound-alter
983,jm,jam,disemvoweling
985,ngatain,mengatai,affixation
986,fk,fakultas kedokteran,acronym
987,100k,100 ribu,acronym
988,dimasa,di masa,space-dash
993,yaaaaa,iya,sound-alter
998,syantik,cantik,sound-alter
999,jadiin,jadikan,affixation
1001,ajakin,mengajak,acronym
1007,hri,hari,disemvoweling
1008,laah,lah,sound-alter
1010,hahha,hahaha,sound-alter
1011,smpai,sampai,disemvoweling
1013,hayuk,ayo,sound-alter
1014,genk,geng,sound-alter
1019,adoh,aduh,sound-alter
1021,hahahaa,hahaha,sound-alter
1023,rasah,rasa,sound-alter
1024,dehh,deh,sound-alter
1025,ngatur,mengatur,affixation
1027,bapak2,bapak-bapak,space-dash
1028,wkwkwkwkw,hahaha,sound-alter
1029,ngirim,mengirim,affixation
1030,berenti,berhenti,sound-alter
1035,jalanin,menjalani,affixation
1036,wkwkwkkw,hahaha,sound-alter
1040,kebalik,terbalik,affixation
1042,ketum,ketua umum,acronym
1044,sebrang,seberang,disemvoweling
1045,nanyain,menanyakan,affixation
1048,ngampus,ke kampus,affixation
1049,alus,halus,shorten
1053,dimata,di mata,space-dash
1055,bks,bekas,disemvoweling
1058,agan,juragan,shorten
1060,kurangi,mengurangi,shorten
1061,ngeluarin,mengeluarkan,affixation
1062,hnya,hanya,disemvoweling
1063,brigjen,brigadir jenderal,acronym
1065,juve,juventus,shorten
1066,ngabisin,menghabiskan,affixation
1067,skli,sekali,disemvoweling
1068,kaki2,kaki-kaki,space-dash
1070,mcm,macam,disemvoweling
1071,dolo,dulu,sound-alter
1072,didalamnya,di dalamnya,space-dash
1073,ngajar,mengajar,affixation
1076,lakuin,lakukan,affixation
1077,hayoo,ayo,sound-alter
1078,ditahun,di tahun,space-dash
1080,ditanyain,ditanyai,affixation
1081,ndut,gendut,shorten
1083,uga,juga,shorten
1084,bsok,besok,disemvoweling
1087,mentri,menteri,disemvoweling
1088,saia,saya,sound-alter
1089,bermacam2,bermacam-macam,space-dash
1090,matiin,matikan,affixation
1091,hu,huhuhu,shorten
1093,sehat2,sehat-sehat,space-dash
1094,skarang,sekarang,disemvoweling
1095,sprti,seperti,disemvoweling
1096,lau,kalau,shorten
1099,soale,soalnya,sound-alter
1100,ditemenin,ditemani,affixation
1101,nopember,november,sound-alter
1102,dpat,dapat,disemvoweling
1103,kedalam,ke dalam,space-dash
1104,hahahahahaha,hahaha,shorten
1105,hbs,habis,disemvoweling
1106,mn,mana,disemvoweling
1107,diantaranya,di antaranya,space-dash
1115,nyetir,menyetir,affixation
1116,okey,oke,sound-alter
1118,trims,terima kasih,shorten
1119,kalok,kalau,sound-alter
1122,cb,coba,disemvoweling
1123,kebawa,terbawa,affixation
1124,kenalin,kenalkan,affixation
1125,kakk,kak,sound-alter
1126,idung,hidung,sound-alter
1127,bw,bawa,disemvoweling
1131,ngikut,mengikuti,affixation
1132,dibales,dibalas,sound-alter
1133,nengok,menengok,affixation
1134,jatoh,jatuh,sound-alter
1138,udahlah,sudahlah,shorten
1139,8th,8 tahun,shorten
1141,mangat,semangat,shorten
1143,kann,kan,sound-alter
1144,brarti,berarti,disemvoweling
1149,bapakibu,bapak ibu,space-dash
1150,dkt,dekat,disemvoweling
1151,kerjaannya,pekerjaannya,shorten
1152,anter,antar,sound-alter
1155,mauuu,mau,sound-alter
1156,mauu,mau,sound-alter
1157,minjem,pinjam,sound-alter
1161,kemanapun,ke manapun,space-dash
1162,dijadiin,dijadikan,affixation
1163,slmt,selamat,disemvoweling
1164,rekan2,rekan-rekan,space-dash
1165,trnyata,ternyata,disemvoweling
1168,jngan,jangan,disemvoweling
1169,pemko,pemerintah kota,acronym
1170,haloo,halo,sound-alter
1171,seriusan,serius,affixation
1172,haduh,aduh,sound-alter
1175,kebanggan,kebanggaan,disemvoweling
1177,tks,terima kasih,acronym
1179,hayooo,ayo,sound-alter
1181,dikota,di kota,space-dash
1184,sja,saja,disemvoweling
1185,saos,saus,sound-alter
1186,tambahin,menambahkan,affixation
1187,ujung2nya,ujung-ujungnya,space-dash
1190,mosok,masa,sound-alter
1192,gantian,bergantian,shorten
1193,darimana,dari mana,space-dash
1194,adik2,adik-adik,space-dash
1195,rakor,rapat koordinasi,acronym
1199,silaturrahmi,silaturahmi,sound-alter
1201,pg,pagi,disemvoweling
1202,wkkwkw,hahaha,sound-alter
1203,akhir2,akhir-akhir,space-dash
1204,kesian,kasihan,sound-alter
1205,depo,depot,shorten
1208,dikantor,di kantor,space-dash
1210,tuu,itu,sound-alter
1216,kadis,kepala dinas,acronym
1218,perna,pernah,shorten
1219,ngangenin,mengangeni,affixation
1221,dlingo,Duo Lingo,shorten
1222,emangnya,memangnya,shorten
1224,smga,semoga,disemvoweling
1225,kebawah,ke bawah,space-dash
1226,gn,begini,disemvoweling
1227,pnya,punya,disemvoweling
1233,allahuakbar,allahu akbar,space-dash
1234,fpi,front pembela islam,acronym
1235,ngalamin,mengalami,affixation
1236,pda,pada,disemvoweling
1237,ceritain,ceritakan,affixation
1238,kerjain,kerjakan,affixation
1239,emot,emote,disemvoweling
1240,bisaa,bisa,sound-alter
1241,uuu,huhuhu,sound-alter
1242,adlh,adalah,disemvoweling
1243,bhs,bahas,disemvoweling
1244,aminnn,amin,sound-alter
1245,ngerokok,merokok,affixation
1248,gunungkidul,gunung kidul,space-dash
1254,sdg,sedang,disemvoweling
1255,tanya2,tanya-tanya,space-dash
1257,motoin,memfotokan,affixation
1259,marah2,marah-marah,space-dash
1263,algo,algoritme,shorten
1264,balaikota,balai kota,space-dash
1265,dept,departemen,shorten
1272,stlh,setelah,disemvoweling
1278,ksr,kasar,disemvoweling
1279,pinjem,pinjam,sound-alter
1280,haiii,hai,sound-alter
1282,mngkin,mungkin,disemvoweling
1283,bosss,bos,sound-alter
1284,jeung,jeng,sound-alter
1286,bwt,buat,sound-alter
1287,luruuss,lurus,sound-alter
1288,keatas,ke atas,space-dash
1289,itupun,itu pun,space-dash
1291,tebel,tebal,sound-alter
1293,5x,5 kali,acronym
1295,ngomongnya,omongannya,shorten
1296,menpar,kementrian pariwisata,acronym
1297,wahab,wahabi,shorten
1303,nyebrang,menyebrang,affixation
1312,disekitar,di sekitar,space-dash
1314,ngidam,mengidam,affixation
1318,kdg,kadang,disemvoweling
1319,yutub,youtube,sound-alter
1322,kmrin,kemarin,disemvoweling
1323,kramat,keramat,disemvoweling
1325,jugo,juga,sound-alter
1326,brapa,berapa,disemvoweling
1327,hongkong,hong kong,space-dash
1328,motret,memotret,affixation
1331,pokonya,pokoknya,shorten
1334,tf,tensorflow,acronym
1335,sedikitpun,sedikit pun,space-dash
1339,roemah,rumah,sound-alter
1340,kakak2,kakak-kakak,space-dash
1341,bgini,begini,disemvoweling
1342,yaaah,yah,sound-alter
1343,yach,yah,sound-alter
1344,numpuk,menumpuk,affixation
1345,sdah,sudah,disemvoweling
1347,kebelakang,ke belakang,space-dash
1348,ngamuk,mengamuk,affixation
1349,kwkwkw,hahaha,sound-alter
1350,gratisan,gratis,affixation
1351,nanggung,tanggung,affixation
1352,mls,malas,disemvoweling
1353,wkwkwkk,hahaha,sound-alter
1354,istora,istana olah raga,acronym
1355,bolang,bocah petualang,acronym
1356,ksh,kasih,disemvoweling
1357,tkp,tempat kejadian perkara,acronym
1358,kls,kelas,disemvoweling
1359,samaa,sama,sound-alter
1360,nganti,mengantri,affixation
1361,ngalah,mengalah,affixation
1362,jugaaa,juga,sound-alter
1364,iqro,iqra,sound-alter
1366,rapih,rapi,sound-alter
1372,ngedit,mengedit,affixation
1373,tauu,tahu,sound-alter
1374,ngelakuin,melakukan,affixation
1375,ucapin,ucapkan,affixation
1376,wkt,waktu,disemvoweling
1377,tunjukan,tunjukkan,sound-alter
1378,maem,makan,sound-alter
1380,pdt,padat,disemvoweling
1381,yaak,iya,sound-alter
1382,main2,main-main,space-dash
1383,tlg,tolong,disemvoweling
1385,semuaa,semua,sound-alter
1386,istighfar,istigfar,sound-alter
1387,nurut,menurut,affixation
1388,qu,ku,sound-alter
1390,dpc,dewan pimpinan cabang,acronym
1391,ngilangin,menghilangkan,affixation
