no,transformed,original-for,transformation
1392,nihhh,ini,sound-alter
1393,galo,galau,sound-alter
1394,iyoo,iya,sound-alter
1396,rata2,rata-rata,space-dash
1399,tepar,terkapar,shorten
1400,jend,jendral,shorten
1405,kamuu,kamu,sound-alter
1407,bagi2,bagi-bagi,space-dash
1408,50k,50000,shorten
1410,nyebut,menyebut,affixation
1411,tentrem,tentram,sound-alter
1413,sintesa,sintesis,sound-alter
1415,masa2,masa-masa,space-dash
1417,tungguin,menunggu,affixation
1418,lwat,lewat,disemvoweling
1419,psti,pasti,disemvoweling
1420,onlen,online,sound-alter
1422,tpu,tempat pemakaman umum,acronym
1423,spn,surat pembendaharaan negara,acronym
1425,satgas,satuan tugas,acronym
1426,cita2,cita-cita,space-dash
1427,skalian,sekalian,disemvoweling
1428,pait,pahit,shorten
1429,pny,punya,disemvoweling
1430,keseringan,terlalu sering,affixation
1431,udahan,sudahan,sound-alter
1432,resleting,ritsleting,sound-alter
1434,makasar,makassar,sound-alter
1435,bgitu,begitu,disemvoweling
1440,brrti,berarti,disemvoweling
1445,4x,4 kali,shorten
1447,ips,ilmu pengetahuan sosial,acronym
1449,15k,15000,shorten
1450,lanjutin,lanjutkan,affixation
1452,pelakor,perebut lelaki orang,acronym
1455,paslon,pasangan calon,acronym
1459,sekali2,sekali-sekali,space-dash
1461,tau2,tahu-tahu,space-dash
1462,jangan2,jangan-jangan,space-dash
1465,selebgram,selebriti instagram,acronym
1467,dimarahin,dimarahi,affixation
1468,ngalahin,mengalahkan,affixation
1471,yt,youtube,acronym
1472,malam2,malam-malam,space-dash
1476,kulineran,berkuliner,affixation
1480,skrang,sekarang,disemvoweling
1481,apus,hapus,sound-alter
1483,semangatt,semangat,sound-alter
1486,cr,cara,disemvoweling
1487,tdak,tidak,disemvoweling
1489,akn,akan,disemvoweling
1491,kominfo,komunikasi dan informasi,acronym
1498,kao,kau,sound-alter
1499,gile,gila,sound-alter
1501,nnt,nanti,disemvoweling
1504,adekku,adikku,sound-alter
1511,ituuu,itu,sound-alter
1514,bgmn,bagaimana,disemvoweling
1517,anjirrr,anjing,sound-alter
1518,atw,atau,sound-alter
1519,maqna,makna,sound-alter
1520,mahluk,makhluk,sound-alter
1522,shubuh,subuh,sound-alter
1524,menghianati,mengkhianati,sound-alter
1527,mksdnya,maksudnya,disemvoweling
1528,anjirr,anjing,sound-alter
1529,lbih,lebih,disemvoweling
1530,benerin,benarkan,affixation
1531,bangun2,bangun-bangun,space-dash
1534,nari,menari,affixation
1536,kabid,kepala bidang,acronym
1538,cawapres,calon wakil presiden,acronym
1539,hmmmmm,hm,sound-alter
1540,lagu2,lagu-lagu,space-dash
1541,diliatin,diperlihatkan,affixation
1542,aah,ah,sound-alter
1543,atu,satu,shorten
1545,jakpus,jakarta pusat,acronym
1547,hmi,himpunan mahasiswa indonesia,acronym
1548,dishub,dinas perhubungan,acronym
1549,diawal,di awal,space-dash
1550,ketempat,ke tempat,space-dash
1551,k3,ketiga,sound-alter
1552,lansung,langsung,shorten
1554,lohhh,lho,sound-alter
1557,bedain,membedakan,affixation
1558,diajarin,diajarkan,affixation
1559,akuh,aku,sound-alter
1560,nyariin,mencarikan,affixation
1563,daan,dan,sound-alter
1565,tnggu,tunggu,disemvoweling
1567,kreatifitas,kreativitas,sound-alter
1568,woii,woi,sound-alter
1569,hahhaa,haha,sound-alter
1570,hti,hati,disemvoweling
1572,diacara,di acara,space-dash
1574,adk,arsip data komputer,acronym
1576,mbanya,mbaknya,shorten
1577,nyimak,menyimak,affixation
1579,smlm,semalam,disemvoweling
1580,halooo,halo,sound-alter
1581,tanyain,tanyakan,affixation
1582,dongs,dong,sound-alter
1583,sesok,esok,sound-alter
1584,diujung,di ujung,space-dash
1585,ingetin,ingatkan,affixation
1587,heuheu,hehe,sound-alter
1588,ala2,ala-ala,space-dash
1589,assalammualaikum,assalamualaikum,sound-alter
1590,baiq,baik,sound-alter
1591,apaaa,apa,sound-alter
1592,okeh,oke,sound-alter
1593,telfon,telepon,sound-alter
1596,paketan,paket,affixation
1597,yuuuk,ayo,sound-alter
1599,smuanya,semuanya,disemvoweling
1600,siapp,siap,sound-alter
1601,lgsung,langsung,disemvoweling
1603,duhhh,aduh,sound-alter
1604,anjg,anjing,disemvoweling
1606,sia2,sia-sia,space-dash
1609,nginap,menginap,affixation
1610,aneh2,aneh-aneh,space-dash
1614,mampet,mampat,sound-alter
1617,masalalu,masa lalu,space-dash
1623,buru2,buru-buru,space-dash
1624,dilakuin,dilakukan,affixation
1625,nyalain,menyalakan,affixation
1626,sni,sini,disemvoweling
1627,insom,insomnia,shorten
1630,ngadepin,menghadapi,affixation
1632,dgr,dengar,disemvoweling
1633,itam,hitam,sound-alter
1634,siii,sih,sound-alter
1636,nyindir,menyindir,affixation
1637,wahaha,hahaha,sound-alter
1638,dipikirin,dipikirkan,affixation
1640,bukittinggi,bukit tinggi,space-dash
1642,25tahun,25 tahun,space-dash
x,25th,25tahun,disemvoweling
1645,amiiin,amin,sound-alter
1649,costum,kostum,sound-alter
1651,bisaaa,bisa,sound-alter
1652,20k,20000,shorten
1653,latian,latihan,shorten
1654,ormas,organisasi massa,acronym
1655,ancur,hancur,sound-alter
1658,dimalam,di malam,space-dash
1661,allhamdulillah,alhamdulillah,sound-alter
1662,kwalitas,kualitas,sound-alter
1663,pesenan,pesanan,sound-alter
1665,ngebayangin,membayangkan,affixation
1668,snorkling,snorkeling,sound-alter
1669,nyesal,menyesal,affixation
1670,saudara2,saudara-saudara,space-dash
1671,jones,jomblo mengenaskan,acronym
1672,heyy,hey,sound-alter
1673,pltu,pembangkit listrik tenaga uap,acronym
1674,kluarga,keluarga,disemvoweling
1675,sensi,sensitif,shorten
1677,disebelah,di sebelah,space-dash
1678,ngotot,mengotot,affixation
1680,banyak2,banyak-banyak,space-dash
1681,blh,boleh,disemvoweling
1682,hha,haha,disemvoweling
1683,ngitung,menghitung,affixation
1685,pgi,pagi,disemvoweling
1690,stelah,setelah,disemvoweling
1691,tosca,toska,sound-alter
1694,semangattt,semangat,sound-alter
1695,ashar,asar,sound-alter
1696,ngentot,mengentot,affixation
1697,degdegan,deg-degan,space-dash
1699,yuu,ayo,sound-alter
1702,udeh,sudah,sound-alter
1703,matkul,mata kuliah,acronym
1705,kurangin,kurangi,affixation
1706,beda2,beda-beda,space-dash
1707,standart,standar,sound-alter
1708,dikampus,di kampus,space-dash
1709,aamin,amin,sound-alter
1710,ipk,indeks prestasi kumulatif,acronym
1711,batre,baterai,sound-alter
1712,donlot,download,sound-alter
1713,dibeliin,dibelikan,affixation
1715,kakkk,kak,sound-alter
1716,kanaan,kanan,sound-alter
1717,basudara,bersaudara,sound-alter
1719,temans,teman,sound-alter
1722,pileg,pilek,sound-alter
1723,ahhhh,ah,sound-alter
1725,woiii,woi,sound-alter
1727,mensukseskan,menyukseskan,affixation
1728,pikirin,pikirkan,affixation
1729,aseli,asli,sound-alter
1730,senengnya,senangnya,sound-alter
1731,ngutang,berhutang,affixation
1732,bulutangkis,bulu tangkis,space-dash
1733,instal,install,sound-alter
1736,aduhh,aduh,sound-alter
1740,hehee,hahaha,sound-alter
1741,keluarin,keluarkan,affixation
1742,indonesias,indonesia,sound-alter
1743,maacih,terima kasih,sound-alter
1744,gosah,tidak usah,sound-alter
1745,tinggalin,tinggalkan,affixation
1746,syech,syekh,sound-alter
1747,warong,warung,sound-alter
1750,kebuka,terbuka,affixation
1752,bosque,bos,sound-alter
1753,waroenk,warung,sound-alter
1754,nyangkut,menyangkut,affixation
1755,terusss,terus,sound-alter
1756,nganu,menganu,affixation
1757,ngobrolin,mengobrol,affixation
1758,muke,muka,sound-alter
1766,akoh,aku,sound-alter
1768,hahahhaa,hahaha,sound-alter
1769,haaa,ha,sound-alter
1770,tyda,tidak,sound-alter
1771,warteg,Warung Tegal,acronym
1773,padasuka,pada suka,space-dash
1777,dilapangan,di lapangan,space-dash
1778,disitulah,di situlah,space-dash
1780,hrg,harga,disemvoweling
1782,ayoooo,ayo,sound-alter
1784,jb,Jual Beli,acronym
1785,sedi,sedih,shorten
1787,ngunyah,mengunyah,affixation
1788,njing,anjing,disemvoweling
1790,10rb,10 ribu,disemvoweling
1793,yeh,ya,sound-alter
1794,kasihhh,kasih,sound-alter
1797,polwan,polisi wanita,acronym
1798,sahabat2,sahabat-sahabat,space-dash
1801,luarbiasa,luar biasa,shorten
1804,lupain,lupakan,affixation
1805,somay,siomay,sound-alter
1806,acheh,aceh,sound-alter
1807,gassss,gas,sound-alter
1808,syang,sayang,disemvoweling
1809,cariin,carikan,affixation
1811,kwkw,hahaha,sound-alter
1812,wqwqwq,hahaha,sound-alter
1818,kliatan,kelihatan,sound-alter
1821,hadeuh,aduh,sound-alter
1823,ttd,tertanda,acronym
1825,dimna,di mana,disemvoweling
1826,samasama,sama-sama,space-dash
1827,tanggungjawab,tanggung jawab,space-dash
1828,djakarta,jakarta,sound-alter
1830,nyanyiin,menyanyikan,affixation
1831,kabupatenkota,kabupaten kota,space-dash
1833,pdahal,padahal,disemvoweling
1834,cucok,cocok,sound-alter
1835,kalii,kali,sound-alter
1837,dilain,di lain,space-dash
1838,cantiq,cantik,sound-alter
1839,jwb,jawab,disemvoweling
1842,meluk,memeluk,affixation
1844,bkan,bukan,disemvoweling
1846,inih,ini,sound-alter
1851,plng,pulang,disemvoweling
1852,lngsung,langsung,disemvoweling
1853,kejepit,terjepit,affixation
1854,anggep,anggap,sound-alter
1855,dhe,deh,rev
1857,karoke,karaoke,sound-alter
1859,seruuu,seru,sound-alter
1860,ummah,umat,sound-alter
1861,diomongin,diomongi,affixation
1863,walo,walau,sound-alter
1864,eneg,enek,sound-alter
1865,xixixi,hahaha,sound-alter
1867,woyy,oi,sound-alter
1869,narik,menarik,affixation
1870,prnah,pernah,disemvoweling
1871,hhe,haha,sound-alter
1872,ajig,anjing,sound-alter
1873,naksir,menaksir,affixation
1874,laaah,lah,sound-alter
1875,allaah,allah,sound-alter
1876,betol,betul,sound-alter
1877,hny,hanya,disemvoweling
1878,mmng,memang,disemvoweling
1879,hedon,hedonisme,shorten
1881,dapoer,dapur,sound-alter
1882,bgus,bagus,disemvoweling
1883,stiap,setiap,disemvoweling
1885,gank,gang,sound-alter
1886,terosss,terus,sound-alter
1888,dibilangin,dibilangi,affixation
1889,udahh,udah,sound-alter
1891,smbil,sambil,disemvoweling
1892,doong,dong,sound-alter
1894,iyak,iya,sound-alter
1895,nutup,menutup,affixation
1896,yuukk,yuk,sound-alter
1898,lhooo,loh,sound-alter
1903,pagiiii,pagi,sound-alter
1904,masok,masuk,sound-alter
1905,nganterin,mengantar,affixation
1906,mnjadi,menjadi,disemvoweling
1907,cobak,coba,sound-alter
1909,telponan,menelpon,affixation
1911,semuaaa,semua,sound-alter
1912,perhatiin,perhatikan,affixation
1915,tuhh,itu,sound-alter
1917,oey,oi,sound-alter
1918,muncak,memuncak,affixation
1922,kalean,kalian,sound-alter
1924,hasilnyaaa,hasilnya,sound-alter
1928,disekolah,di sekolah,space-dash
1929,jastip,jasa titip,acronym
1930,insyaa,insya,sound-alter
1933,tuch,itu,sound-alter
1935,ngebuat,membuat,affixation
1936,motong,memotong,affixation
1938,beresin,membereskan,affixation
1939,buatin,buatkan,affixation
1943,kannn,kan,sound-alter
1944,nawarin,menawarkan,affixation
1945,yasudah,ya sudah,space-dash
1947,nyanding,menyanding,affixation
1951,doh,aduh,sound-alter
1952,gilaaa,gila,sound-alter
1953,nyalakan,menyalakan,affixation
1954,ngulang,mengulang,affixation
1956,ngintip,mengintip,affixation
1958,mantau,memantau,affixation
1961,astagaaa,astaga,sound-alter
1962,bhw,bahwa,disemvoweling
1963,samaaa,sama,sound-alter
1964,hahahahahahaha,hahaha,sound-alter
1965,dengernya,dengarnya,sound-alter
1968,kelaperan,kelaparan,sound-alter
1969,sdr,saudara,disemvoweling
1970,dikirimin,dikirimkan,affixation
1971,msuk,masuk,sound-alter
1975,jajaja,hahaha,sound-alter
1976,smangat,semangat,disemvoweling
1979,msk,masuk,disemvoweling
1981,bambank,bambang,sound-alter
1982,mauuuu,mau,sound-alter
1983,binggung,bingung,sound-alter
1984,itung,hitung,sound-alter
1985,lagiiii,lagi,sound-alter
1986,anterin,antarkan,affixation
1987,bosqu,bosku,sound-alter
1988,bukak,buka,sound-alter
1989,mslh,masalah,disemvoweling
1993,bngst,bangsat,disemvoweling
1994,dilombok,di lombok,space-dash
1996,nyapa,menyapa,affixation
1997,sulthan,sultan,sound-alter
1999,kamuuu,kamu,sound-alter
2000,ngakunya,mengakunya,affixation
2001,kwkwk,hahaha,sound-alter
2002,kocheng,kucing,sound-alter
2007,mlati,melati,disemvoweling
2008,beranih,berani,sound-alter
2010,trlalu,terlalu,sound-alter
2016,suru,suruh,shorten
2017,nipu,tipu,affixation
2018,salahin,salahkan,affixation
2019,tuiter,twitter,sound-alter
2020,iyain,iyakan,affixation
2021,heheheh,hahaha,sound-alter
2022,ughtea,ukhti,sound-alter
2023,slh,salah,disemvoweling
2024,aduhhh,aduh,sound-alter
2026,pegi,pergi,sound-alter
2027,maennya,mainnya,sound-alter
2029,yekan,yakan,sound-alter
2034,nyicil,menyicil,affixation
2036,hbis,habis,disemvoweling
2037,milyar,miliar,sound-alter
2041,kebeli,terbeli,affixation
2042,mesen,pesan,sound-alter
2043,kejebak,terjebak,affixation
2045,tumpa,tumpah,sound-alter
2046,kaks,kak,sound-alter
2047,mbak2,mbak-mbak,space-dash
2048,difotoin,difoto,affixation
2050,ditinggalin,ditinggalkan,affixation
2051,cntik,cantik,disemvoweling
2052,hahahahaa,hahaha,sound-alter
2054,simpen,simpan,sound-alter
2055,mbaaa,mbak,sound-alter
2056,dirumah,di rumah,space-dash
x,drmh,dirumah,disemvoweling
2057,nmr,nomor,disemvoweling
2058,boemi,bumi,sound-alter
2059,nyempil,menyempil,affixation
2060,dngn,dengan,disemvoweling
2061,mekdi,mcd,sound-alter
2063,abng,abang,disemvoweling
2064,sebelom,sebelum,sound-alter
2065,gangguin,ganggu,affixation
2066,ngelihat,melihat,affixation
2068,wkwwk,hahaha,sound-alter
2069,tul,betul,shorten
2070,mantapp,mantap,sound-alter
2072,elek,jelek,sound-alter
2073,bissmillah,bismillah,sound-alter
2074,parpol,partai politik,acronym
2075,ajh,aja,sound-alter
2079,dlam,dalam,disemvoweling
2080,akuuuu,aku,sound-alter
2083,oya,iya,sound-alter
2084,profdr,prof dr,space-dash
2085,mengkonsumsi,mengonsumsi,sound-alter
2086,urusin,urusi,affixation
2087,ngabarin,mengabari,affixation
2088,maenan,mainan,sound-alter
2089,nyet,monyet,shorten
2090,keringetan,berkeringat,affixation
2091,pamutusan,pemutusan,sound-alter
2092,dikampung,di kampung,space-dash
2093,bngun,bangun,disemvoweling
2094,dann,dan,sound-alter
2095,km,kilometer,acronym
2096,pake,pakai,sound-alter
2097,tp,tapi,disemvoweling
2098,bgt,begitu,disemvoweling
2101,org,organisasi,acronym
2103,ngopi,mengopi,affixation
2110,tgl,tinggal,disemvoweling
2111,bio,biologi,shorten
2112,knp,kenapa,disemvoweling
2113,st,stasiun,acronym
2114,nipu,menipu,affixation
2119,del,delete,shorten
2123,masa bodo,masa bodoh,sound-alter
2124,hj,haji,disemvoweling
2127,thn,tahan,disemvoweling
2129,mt,mata,disemvoweling
2130,ttp,tetapi,disemvoweling
2131,tp,tipu,disemvoweling
2132,bts,batas,disemvoweling
2133,kepikiran,terpikirkan,affixation
2134,diaplikasi,diaplikasikan,shorten
2136,ngumpul,mengumpul,affixation
2139,kebon,kebun,sound-alter
2140,kel,keluarga,shorten
2142,kt,kata,disemvoweling
2144,bb,berat badan,acronym
2145,bb,blackberry,acronym
2146,bb,buka-bukaan,acronym
2147,ml,machine learning,acronym
2155,2x,2 kali,shorten
2157,bru,baru,disemvoweling
2158,bales,balas,sound-alter
2160,doain,mendoakan,affixation
2163,makanya,maka dari itu,affixation
2166,tmn,taman,disemvoweling
2167,pkl,pedagang kaki lima,acronym
2168,rmh,rumah,disemvoweling
2171,kw,kilowatt,affixation
2177,jw,jawa,disemvoweling
2182,bangett,banget,sound-alter
2184,blk,balik,disemvoweling
2186,fak,fuck,sound-alter
2187,kgn,kangen,disemvoweling
2189,7 kmh,7 kilometer per hour,acronym
2191,ngechat,mengechat,affixation
2193,etc,Et cetera,acronym
2195,mz,ms,sound-alter
2196,ms,mas,disemvoweling
2197,mv,music video,acronym
2199,gaenak,ga enak,space-dash
2201,decor,decoration,shorten
2203,skg,skrg,sound-alter
2204,skrg,sekarang,disemvoweling
2205,gitu,begitu,shorten
2207,idk,i dont know,acronym
2209,oiya,o iya,space-dash
2210,o iya,oh iya,sound-alter
2211,gausa,ga usa,space-dash
2212,ga usa,ga usah,shorten
2214,bnget,banget,disemvoweling
2217,sngt,sangat,disemvoweling
2218,bodoamat,bodo amat,space-dash
2220,mabar,main bareng,acronym
2222,fams,family,shorten
2224,bgsd,bgst,sound-alter
2225,bgst,bangsat,disemvoweling
2226,bigmall,big mall,space-dash
2229,ol shop,online shop,acronym
2233,klean,klian,sound-alter
2235,emyu,MU,sound-alter
2236,MU,Manchester United,acronym
2237,yesss,yes,sound-alter
2241,mohon maap,mohon maaf,sound-alter
2242,doank,doang,sound-alter
2246,pahami,memahami,affixation
2248,nyadar,sadar,affixation
2250,ngupi,ngopi,sound-alter
2251,ngopi,minum kopi,affixation
2252,ktmu,ketemu,shorten
2257,5 k,5 kilo,acronym
2259,nginep,nginap,sound-alter
2260,nginap,menginap,affixation
2261,yay,yeay,sound-alter
2263,dmna,d mna,space-dash
2264,d mna,di mana,disemvoweling
2265,tw,th,sound-alter
2266,th,tahu,disemvoweling
2267,bangettt,banget,sound-alter
2270,yuks,ayo,sound-alter
2271,dd,adek,sound-alter
2273,mksh,makasih,disemvoweling
2274,makasih,terima kasih,shorten
2275,ngadain,ngadakan,affixation
2276,ngadakan,mengadakan,affixation
2277,nyoblos,coblos,affixation
2279,fyi,for your information,acronym
2281,bangunin,bangunkan,affixation
2283,kemana2,kemana-mana,space-dash
2284,kemana-mana,ke mana-mana,space-dash
2285,nyalahin,nyalahkan,affixation
2286,nyalahkan,menyalahkan,affixation
2287,bawain,bawakan,affixation
2289,baperan,ba peran,space-dash
2291,ngaca,berkaca,affixation
2292,mbaa,mba,sound-alter
2294,yakk,ya,sound-alter
2296,30s,30 s,space-dash
2297,30 s,30 second,acronym
2299,duhh,duh,sound-alter
2301,nyebelin,menyebalkan,affixation
2302,lom,lum,sound-alter
2304,ngingetin,mengingatkan,affixation
2305,nyakitin,menyakiti,affixation
2306,ikutin,mengikuti,affixation
2307,alamin,mengalami,affixation
2308,gbu,god bless you,acronym
2310,gajelas,ga jelas,space-dash
2317,hq,headquarter,acronym
2320,sat nite,saturday nite,shorten
2321,saturday nite,saturday night,sound-alter
2324,d sni,di sini,disemvoweling
2327,orgnya,orangnya,disemvoweling
2330,kmaren,kmarin,sound-alter
2331,kmarin,kemarin,disemvoweling
2332,gmana,gimana,disemvoweling
2334,yooo,yo,sound-alter
2336,pngen,pingin,sound-alter
2340,ootd,outfit of the day,acronym
2342,gimna,gimana,disemvoweling
2343,gimana,bagaimana,shorten
2344,yk,yok,disemvoweling
2345,yok,ayo,sound-alter
2346,saay,say,sound-alter
2347,say,sayang,shorten
2351,paan,apaan,shorten
2352,apaan,apa,affixation
2353,nyenengin,menyenangkan,affixation
2354,gx,gak,sound-alter
2356,pngn,pingin,disemvoweling
2358,mksih,makasih,disemvoweling
2359,makasih,terima kasih,shorten
2360,ntn,nonton,disemvoweling
2361,nonton,tonton,affixation
2362,dahh,dah,sound-alter
2363,dah,sudah,shorten
2365,k mn,ke mana,disemvoweling
2366,ngeliatin,melihat,affixation
2367,bner,bener,disemvoweling
2368,bener,benar,sound-alter
2370,ustadz abdul somad,ustaz abdul somad,sound-alter
2371,depe,dp,sound-alter
2372,dp,down payment,acronym
2374,fgd,focus group discussion,acronym
2378,telepon wa,telepon whatsapp,acronym
2379,pasih,apasih,shorten
2380,pasih,apa sih,space-dash
2381,hitz,hits,sound-alter
2383,cwek,cewek,disemvoweling
2385,mee,me,sound-alter
2387,adek-adek,adik-adik,sound-alter
2388,adek2,adek-adek,space-dash
2389,cuz,because,shorten
2391,tiati,atiati,shorten
2392,atiati,ati-ati,space-dash
2393,ati-ati,hati-hati,sound-alter
2394,tmn2,teman2,disemvoweling
2395,teman2,teman-teman,space-dash
2396,sooo,so,sound-alter
2398,gaa,ga,sound-alter
2400,sbb,sorry baru balas,acronym
2402,bntr,bentar,disemvoweling
2403,bentar,sebentar,shorten
2404,pjg,pnjng,shorten
2405,pnjng,panjang,disemvoweling
2406,bct,bacot,disemvoweling
2408,bocil,bocah cilik,acronym
2410,gabole,ga bole,space-dash
2411,ga bole,ga boleh,sound-alter
2413,yey,yeah,sound-alter
2415,apal,afal,sound-alter
2416,afal,hafal,sound-alter
2417,tenkyu,thankyou,sound-alter
2419,bget,banget,shorten
2421,satnight,sat night,space-dash
2422,sat night,saturday night,shorten
2424,pliss,please,sound-alter
2428,puede,pede,sound-alter
2429,pede,percaya diri,acronym
2431,lngsng,langsung,disemvoweling
2432,bcs,because,disemvoweling
2434,ngefans,fans,affixation
2436,mlaku,melaku,disemvoweling
2438,cwo,cowo,disemvoweling
2440,folbek,followback,sound-alter
2442,kuyyy,kuy,sound-alter
2444,marahin,memarahi,affixation
2446,yaudahlah,ya udahlah,space-dash
x,ya udahlah,ya sudahlah,sound-alter
2452,gapake,ga pake,space-dash
2455,skrng,sekarang,disemvoweling
2456,mblo,jomblo,shorten
2457,jgan,jangan,shorten
2458,maapin,maafkan,affixation
2459,gituuu,gitu,sound-alter
2460,gitu,begitu,shorten
2461,rapopo,ra po po,space-dash
2462,ra po po,ora opo opo,shorten
2464,bilangin,bilang,affixation
2466,bgtt,bngt,sound-alter
2467,bngt,banget,disemvoweling
2469,nyemil,mengemil,affixation
2470,balikin,kembalikan,affixation
2471,ngebacot,bacot,affixation
2473,boking,booking,shorten
2475,anjir,anjing,sound-alter
2476,njir,anjir,shorten
2478,y,iya,disemvoweling
2479,bareng2,bareng-bareng,space-dash
2481,guysss,guys,sound-alter
2483,nunjukin,menunjukkan,affixation
2484,pcx,pack,sound-alter
2486,dimana2,dimana-mana,space-dash
2487,dech,dah,sound-alter
2488,dah,sudah,shorten
2489,makan2,makan-makan,space-dash
2490,kepake,terpake,affixation
2492,deg2an,deg-degan,space-dash
2494,ngebolam,bolang,affixation
2496,120rb,120 rb,space-dash
2497,120 rb,120 ribu,disemvoweling
2498,smo,smp,sound-alter
2499,smp,sampai,disemvoweling
2500,bruh,bro,sound-alter
2501,bro,brother,shorten
2503,liat2,lihat2,sound-alter
2504,lihat2,lihat-lihat,space-dash
2505,sering2,sering-sering,space-dash
2506,nontonin,menonton,affixation
2507,ttep,tetep,sound-alter
2508,ttp,tetap,disemvoweling
2509,gakuat,ga kuat,space-dash
2511,sprei,seprai,sound-alter
2512,kotagede,kota gede,space-dash
2514,yokk,yo,sound-alter
2515,yo,ayo,shorten
2516,kuingin,akuingin,shorten
2517,akuingin,aku ingin,space-dash
2518,jng,jngn,shorten
2519,jngn,jangan,disemvoweling
2520,ngomel,mengomel,affixation
2522,panas2,panas-panas,space-dash
2523,gf,girl friend,acronym
2525,otewe,ontheway,sound-alter
2533,edt,edit,disemvoweling
2535,tbh,to be honest,acronym
2538,kpn,kapan,disemvoweling
2545,beud,banget,sound-alter
2552,looo,lo,sound-alter
2555,ciwi,cewe,sound-alter
2557,bgttt,bngt,sound-alter
2561,110 cm,110 centimeter,affixation
2562,fakenail,fake nail,space-dash
2564,niii,ni,sound-alter
