no,transformed,original-for,transformation
2565,ni,ini,shorten
2566,collab,collaboration,shorten
2568,yasinan,yasin,affixation
2569,yasinan,membaca yasin,shorten
2570,manteman,temanteman,shorten
2571,man-teman,teman-teman,shorten
2573,rangorang,orangorang,shorten
2574,orangorang,orang-orang,space-dash
2575,gangerti,ga ngerti,space-dash
2576,ga ngerti,ga mengerti,affixation
2578,jaim,ja im,space-dash
2579,ja im,jaga image,acronym
2581,happines,happiness,sound-alter
2583,makasii,makasih,sound-alter
2584,makasih,terimakasih,shorten
2585,yuuu,yo,sound-alter
2586,yo,ayo,shorten
2587,makasihhh,makasih,sound-alter
2588,makasih,terima kasih,shorten
2589,20rb,20 rb,space-dash
2590,20 rb,20 ribu,disemvoweling
2591,bikinin,buatkan,affixation
2592,nyender,menyandar,affixation
2593,ngmng,ngomong,disemvoweling
2595,cz,cause,sound-alter
2596,cause,because,shorten
2598,ngedate,date,affixation
2600,wellcome,welcome,sound-alter
2602,samperin,menyamperi,affixation
2603,plisss,please,sound-alter
2605,500rb,500 rb,space-dash
2606,500 rb,500 ribu,disemvoweling
2607,skuad,squad,sound-alter
2609,goodluck,good luck,space-dash
2611,fakboi,fuck boy,sound-alter
2612,bagus2,bagus-bagus,space-dash
2613,satu2,satu-satu,space-dash
2614,jarang2,jarang-jarang,space-dash
2615,kuyyy,kuy,sound-alter
2616,kuy,yuk,rev
2617,gw,gue,sound-alter
2622,gaes,guys,sound-alter
2624,komen,berkomentar,shorten
2626,plg,plng,shorten
2630,ngegas,mengegas,affixation
2631,testi,testimoni,shorten
2632,200rb,200 rb,space-dash
2638,Yogya,Yogyakarta,shorten
2639,Jogja,Yogya,sound-alter
2641,nangis,menangis,affixation
2642,1010mb,1010 mb,space-dash
2643,iyaa,iya,sound-alter
2647,srby,surabaya,disemvoweling
2648,sby,surabaya,shorten
2650,bpk,bapak,disemvoweling
2651,bp,bapak,shorten
2652,plis,please,sound-alter
2653,nntn,nonton,disemvoweling
2655,php,pemberi harapan palsu,acronym
2656,kcp,kecap,disemvoweling
2663,17 thn,17 tahun,disemvoweling
2664,17thn,17 tahun,space-dash
2665,17 th,17 tahun,shorten
2669,bagaimanapun,bagaimana pun,space-dash
2671,hahaha,wkwkkwkw,sound-alter
2674,t4,tempat,sound-alter
2675,60ribu,60 ribu,space-dash
2676,60rb,60 rb,space-dash
2677,60 rb,60 ribu,disemvoweling
2679,keempat,ke empat,space-dash
2680,daritadi,dari tadi,space-dash
2684,bedua,berdua,sound-alter
2686,naikturun,naik turun,space-dash
2689,pabji,PUBG,sound-alter
2691,pcs,pieces,disemvoweling
2695,ajg,anjing,disemvoweling
2697,kyknya,kayaknya,disemvoweling
2699,nggk,enggak,disemvoweling
2701,enggakpunya,enggak punya,space-dash
2708,bensu,Ruben Onsu,acronym
2713,bai,bye,sound-alter
2715,gwa,gue,sound-alter
2716,unfoll,unfollow,shorten
2717,ta kan,tak akan,shorten
2718,takan,ta kan,space-dash
2720,req,request,shorten
2722,ga,enggak,shorten
2724,i'm,i am,shorten
2725,im,i'm,space-dash
2728,wkwkwk,hahaha,sound-alter
2729,pake,memakai,sound-alter
2730,pengen,ingin,sound-alter
2732,tp,ttp,shorten
2735,2kmh,2 kmh,space-dash
2737,bgt,banget,disemvoweling
2739,gw,gue,sound-alter
2741,1 kmh,1 kilometer per hour,acronym
2742,1kmh,1 kmh,space-dash
2743,kalo,kalau,sound-alter
2744,klo,kalo,shorten
2745,tuh,itu,sound-alter
2747,nggak,enggak,shorten
2749,3 kmh,3 kilometer per hour,acronym
2750,3kmh,3 kmh,space-dash
2752,nggk,enggak,disemvoweling
2753,gk,nggk,shorten
2755,ngga,enggak,shorten
2757,ko,kok,shorten
2758,hehe,hahaha,sound-alter
2760,vs,versus,shorten
2761,wkwkw,hahaha,sound-alter
2762,bgt,begitu,disemvoweling
2763,gt,bgt,shorten
2765,memg,memang,disemvoweling
2769,gatau,ga tau,space-dash
2771,mikir,pikir,sound-alter
2773,nanya,tanya,sound-alter
2779,gabisa,ga bisa,space-dash
2780,yuk,ayo,sound-alter
2781,kuy,ayo,rev
2787,knp,kenapa,disemvoweling
2788,ne,ini,sound-alter
2792,gaes,guys,sound-alter
2794,bgmn,bagaimana,disemvoweling
2797,yaudah,ya udah,space-dash
2799,kyk,kayaknya,disemvoweling
2801,jo,ojo,shorten
2803,ur,your,sound-alter
2805,ga pa pa,enggak apa-apa,shorten
2806,gapapa,ga pa pa,space-dash
2808,gtu,begitu,shorten
2812,beb,baby,sound-alter
2814,ga mau,enggak mau,shorten
2815,gamau,ga mau,space-dash
2817,del,delete,shorten
2819,ngak,enggak,shorten
2821,ga ada,enggak ada,shorten
2824,kaga,kagak,shorten
2826,ga usah,enggak usah,shorten
2829,su,asu,shorten
2831,thx,thanks,shorten
2834,smpe,sampai,disemvoweling
2836,kayanya,kayaknya,shorten
2837,ajah,saja,sound-alter
2842,max,maximum,shorten
2843,nunggu,menunggu,affixation
2846,keknya,kayaknya,sound-alter
2848,blg,berkata,disemvoweling
2850,blang,bilang,disemvoweling
2853,teman2,teman-teman,sound-alter
2854,temen2,teman2,sound-alter
2856,bener2,benar2,sound-alter
2857,kos,indekos,shorten
2859,bday,birthday,shorten
2861,nggk,enggak,disemvoweling
2862,ngk,nggk,shorten
2863,neh,ini,sound-alter
2864,kt,kita,disemvoweling
2865,qt,kt,sound-alter
2867,bt,boring time,acronym
2869,congrats,congratulations,shorten
2871,bb,baby,shorten
2873,ml,make love,acronym
2874,kosan,indekos,shorten
2875,ms,yang benar,disemvoweling
2876,nyesel,menyesal,affixation
2879,ajaa,saja,sound-alter
2882,pgn,pingin,disemvoweling
2884,bgmna,bagaimana,disemvoweling
2885,gmna,bgmna,shorten
2898,wkw,wkwkwk,shorten
2899,d mn,di mana,disemvoweling
2907,ga pernah,enggak pernah,shorten
2908,gapernah,ga pernah,space-dash
2909,mantul,mantap sekali,acronym
2912,knpa,kenapa,disemvoweling
2919,bby,baby,disemvoweling
2921,rmv,remove,disemvoweling
2923,tb-tb,tiba-tiba,disemvoweling
2924,tbtb,tb-tb,space-dash
2926,acc,accord,acronym
2929,pake,pakai,sound-alter
2930,pke,pake,disemvoweling
2931,sdh,sudah,disemvoweling
2932,dh,sdh,shorten
2933,sbntr,sebentar,disemvoweling
2934,ntr,sbntr,shorten
2935,liatnya,melihat -nya,shorten
2936,nihh,ini,sound-alter
2937,wkwkwk,hahaha,sound-alter
2938,wk,wkwkwk,shorten
2941,ga suka,enggak suka,shorten
2942,gasuka,ga suka,space-dash
2944,ndk,ndak,disemvoweling
2945,trima kasih,terima kasih,shorten
2946,trimakasih,trima kasih,space-dash
2951,nikmatin,menikmati,affixation
2953,kmren,kemaren,disemvoweling
2955,beliin,belikan,affixation
2956,ngajak,mengajak,affixation
2957,ngajakin,ngajak,affixation
2960,bantuin,bantu,affixation
2963,temen,teman,sound-alter
2964,temenan,temen,affixation
2965,ninggal,meninggalkan,affixation
2966,ninggalin,ninggal,affixation
2967,kalaw,kalau,sound-alter
2968,klw,kalaw,disemvoweling
2969,ngurus,mengurusi,affixation
2972,kzl,ksl,sound-alter
2974,balek,balik,sound-alter
2977,ngikuti,mengikuti,affixation
2980,thank u,thank you,sound-alter
2981,tq,thank u,acronym
2988,gaess,guys,sound-alter
2995,yess,yes,sound-alter
2997,gws,get well soon,acronym
3002,gajadi,ga jadi,space-dash
3004,ngarep,harap,sound-alter
3007,551pm,511 pm,space-dash
3012,temeni,temani,sound-alter
3014,ngasi,mengasih,affixation
3017,gais,guys,sound-alter
3018,tetiba,tiba-tiba,sound-alter
3019,muter,berputar,sound-alter
3020,keinget,teringat,affixation
3022,552pm,552 pm,space-dash
3024,bm,black money,acronym
3028,hepi,happy,sound-alter
3031,brader,brother,sound-alter
3033,kya,kayak,shorten
3037,gaesss,guys,sound-alter
3039,kyak,kayak,disemvoweling
3040,jadul,jaman dulu,acronym
3043,slamet,selamat,sound-alter
3045,bgni,begini,disemvoweling
3047,emak2,emak-emak,space-dash
837,op,operator,acronym
x,egp,emang gue pikirin,acronym
1121,ojol,ojek online,acronym
349,kel,kelurahan,acronym
1412,satker,satuan kerja,acronym
367,gabut,gaji buta,acronym
1120,jaksel,Jakarta Selatan,acronym
672,medsos,sosial media,acronym
2003,nyampah,menyampah,affixation
776,og,original,acronym
1525,wrwb,warahmatullahi wabarakatuh,acronym
712,gr,gara-gara,acronym
2014,yth,yang terhormat,acronym
1533,copas,copy paste,acronym
1404,ppsu,penanganan sarana dan prasarana umum,acronym
1148,gatsu,gatot subroto,acronym
1990,gercep,gerak cepat,acronym
53,sd,sekolah dasar,acronym
793,ponpes,pondok pesantren,acronym
41,vid,video,shorten
1509,satpol,satuan polisi,acronym
2554,baksos,bakti sosial,acronym
1292,lahiran,melahirkan,affixation
3013,temenin,temeni,affixation
2118,cobain,cobalah,affixation
1526,kabarin,kabari,affixation
2984,ginian,gini,affixation
1850,lewatin,melewati,affixation
1260,ngaruh,berpengaruh,affixation
1497,salfok,salah fokus,acronym
2682,maskeran,memakai masker,affixation
2116,dengerin,dengarkan,affixation
1300,nontonnya,menontonnya,affixation
1845,ngamen,mengamen,affixation
x,jauhin,menjauhi,affixation
1848,nyusahin,menyusahkan,affixation
x,ngebebanin,membebani,affixation
2986,senyumin,memberi senyum,affixation
2315,siapin,siapkan,affixation
2325,pantengin,pantengi,affixation
2328,bayarin,membayarkan,affixation
3035,kepengen,pengen,affixation
1512,mainin,mainkan,affixation
2348,deketin,mendekati,affixation
1017,diajakin,diajak,affixation
2948,masukin,masuk,affixation
1832,dimasukin,dimasukkan,affixation
x,munculin,memunculkan,affixation
444,ngaku,mengaku,affixation
2999,ajarin,ajar,affixation
1493,mimpiin,memimpikan,affixation
202,dengerin,mendengarkan,affixation
1307,dikerjain,dikerjakan,affixation
1308,arts,artis,disemvoweling
411,kpd,kepada,disemvoweling
1714,mnta,minta,disemvoweling
1477,sbnrnya,sebenarnya,disemvoweling
x,sbnarnya,sebenarnya,disemvoweling
1479,kntl,kontol,disemvoweling
299,dn,dan,disemvoweling
x,cpet,cepet,disemvoweling
379,sbg,sebagai,disemvoweling
x,bangke,bangkai,sound-alter
293,seger,segar,sound-alter
2971,ksl,kesal,disemvoweling
221,lgi,lagi,disemvoweling
10,km,kamu,disemvoweling
1475,btl,betul,disemvoweling
x,mnbung,menabung,disemvoweling
1298,brg,barang,disemvoweling
x,pdh,pedih,disemvoweling
x,jngkar,jangkar,disemvoweling
x,jngkir,jungkir,disemvoweling
1726,pnting,penting,disemvoweling
961,150rb,150 ribu,disemvoweling
2711,tmpat,tempat,disemvoweling
x,tnmn,tanaman,disemvoweling
2447,dsini,disini,disemvoweling
1767,350rb,350 ribu,disemvoweling
2621,kkk,kakak,disemvoweling
x,mkanan,makanan,disemvoweling
322,bth,butuh,disemvoweling
x,sob,bos,rev
2269,skuy,yuks,rev
22,gini,begini,shorten
471,koyo,koyok,sound-alter
2706,nggo,monggo,shorten
468,masing2,masing-masing,space-dash
809,lalui,melalui,affixation
296,ujan,hujan,sound-alter
2983,gini,begini,shorten
2529,sala lu,salah lu,sound-alter
2672,gub,gubernur,shorten
2300,duh,aduh,shorten
714,ngurus,mengurus,affixation
1503,naikin,menaikkan,affixation
2693,testi,testimony,shorten
846,pura2,pura-pura,space-dash
2786,cewe,cewek,sound-alter
2454,skr,skrng,shorten
3010,ky,kyk,shorten
2549,gaje,gajelas,shorten
990,sadari,menyadari,affixation
1006,tmpt,tempat,disemvoweling
850,maba,mahasiswa baru,acronym
2985,temani,menemani,shorten
2240,mon maap,mohon maap,sound-alter
2445,yaudahlah,yasudahlah,sound-alter
2795,gmn,bgmn,shorten
717,jauh2,jauh-jauh,space-dash
2678,siang2,siang-siang,space-dash
2990,ga boleh,enggak boleh,shorten
858,dih,idih,shorten
2796,ya udah,ya sudah,sound-alter
2430,lsg,lngsng,shorten
2313,rame2,rame-rame,space-dash
2426,folback,followback,shorten
2295,ya,iya,shorten
305,numpang,menumpang,affixation
3003,ngarap,berharap,affixation
2231,thru,through,sound-alter
300,jalan2,jalan-jalan,space-dash
690,temennya,teman-nya,sound-alter
964,koffie,kopi,sound-alter
558,beraktifitas,beraktivitas,sound-alter
1473,rejekinya,rezekinya,sound-alter
2902,horison,horizon,sound-alter
557,santuy,santai,sound-alter
1439,adeknya,adiknya,sound-alter
1041,bakmie,bakmi,sound-alter
546,velg,pelek,sound-alter
2928,nite,night,sound-alter
211,denger,dengar,sound-alter
1460,jamannya,zamannya,sound-alter
1052,jowo,jawa,sound-alter
845,sallam,salam,sound-alter
x,sumpahhh,sumpah,sound-alter
831,ehhh,eh,sound-alter
1448,yuhuuu,yuhu,sound-alter
562,kedhai,kedai,sound-alter
806,oom,om,sound-alter
2376,callwa,call wa,space-dash
2256,5k,5 k,space-dash
1368,gunungsari,gunung sari,space-dash
2254,akutuh,aku tuh,space-dash
44,dimana,di mana,space-dash
x,kekanan,ke kanan,space-dash
2239,monmaap,mon maap,space-dash
657,didunia,di dunia,space-dash
2369,ustadzabdulsomad,ustadz abdul somad,space-dash
2319,satnite,sat nite,space-dash
1521,diwaktu,di waktu,space-dash
1363,matahati,mata hati,space-dash
2560,110cm,110 cm,space-dash
2364,kmn,k mn,space-dash
645,kata2,kata-kata,space-dash
2526,ontheway,on the way,space-dash
36,terimakasih,terima kasih,space-dash
2228,olshop,ol shop,space-dash
445,kerumah,ke rumah,space-dash
2349,badmood,bad mood,space-dash
x,proyek2,proyek-proyek,space-dash
1884,makasihh,terima kasih,space-dash
2878,follback,follow back,space-dash
2528,salalu,salalu,space-dash
2900,dmn,d mn,space-dash
273,siapapun,siapa pun,space-dash
x,sabeb,bebas,rev
x,tubir,ribut,rev
x,kadit,tidak,rev
x,kane,enak,rev
x,alig,gila,rev
x,hujut hulup,tujuh puluh,rev
x,eug,gue,rev
x,takis,sikat,rev
x,lolot,tolol,rev
x,hacep,pecah,rev
x,ogeb,bego,rev
x,sam,mas,rev
x,tikas,sakit,rev
x,nyerap,menyerap,affixation
1496,goblog,goblok,sound-alter
346,diklat,pendidikan kilat,acronym
843,50rb,50000,acronym
1147,busui,ibu menyusui,acronym
2734,2 kmh,2 kilometer per hour,acronym
772,sg,Singapura,acronym
1416,pulkam,pulang kampung,acronym
833,drakor,drama korea,acronym
366,sosmed,sosial media,acronym
1960,nambahin,menambahkan,affixation
2619,cm,centimeter,acronym
1495,dsb,dan sebagainya,acronym
x,galfok,gagal fokus,acronym
1532,wagub,wakil gubernur,acronym
2025,rsj,rumah sakit jiwa,acronym
56,ig,Instagram,acronym
1005,bersihin,membersihkah,affixation
2312,ngajarin,mengajarkan,affixation
584,kebayang,terbayang,affixation
400,nulis,menulis,affixation
x,ngebatin,membatin,affixation
2917,dapetin,mendapatkan,affixation
1841,ngelamar,melamar,affixation
200,nongkrong,menongkrong,affixation
2687,mahasiswai,mahasiswa,sound-alter
208,kirain,saya kira,affixation
2126,narik,tarik,affixation
2844,nungguin,nunggu,affixation
2125,lewatin,lewatkan,affixation
2970,ngurusin,ngurus,affixation
1494,diapain,diapakan,affixation
502,kebangun,terbangun,affixation
2978,ngikutin,ngikuti,affixation
1820,ngundang,mengundang,affixation
2896,ngomongin,ngomong,affixation
553,ngaji,mengaji,affixation
x,ngomenin,mengomentari,affixation
560,nyusul,menyusul,affixation
2634,dapetin,dapatkan,affixation
x,semangatin,menyemangati,affixation
x,nyemangatin,menyemangati,affixation
1849,ngadu,mengadu,affixation
x,kcl,kecil,disemvoweling
1306,bls,balas,disemvoweling
1290,gblk,goblok,disemvoweling
x,bsr,besar,disemvoweling
1931,tnpa,tanpa,disemvoweling
x,gdg,gedung,disemvoweling
x,tnggi,tinggi,disemvoweling
107,tgl,tanggal,disemvoweling
1910,twt,tweet,disemvoweling
2633,200 rb,200 ribu,disemvoweling
x,ttup,tutup,disemvoweling
x,brngkt,berangkat,disemvoweling
106,ak,aku,disemvoweling
x,pmn,paman,disemvoweling
1927,sgala,segala,disemvoweling
x,tnte,tante,disemvoweling
24,lg,lagi,disemvoweling
x,met,selamet,shorten
1692,brani,berani,disemvoweling
14,rp,rupiah,disemvoweling
905,bnr,benar,disemvoweling
243,kmu,kamu,disemvoweling
1942,kmna,kemana,disemvoweling
x,prgi,pergi,disemvoweling
x,dlem,dalem,disemvoweling
1779,masang,memasang,affixation
x,dalem,dalam,sound-alter
116,kk,kakak,disemvoweling
1913,skolah,sekolah,disemvoweling
x,mah,mamah,shorten
1444,cpk,capek,disemvoweling
2627,plg,paling,disemvoweling
x,pah,papah,shorten
1786,eug,gue,rev
824,este,es teh,shorten
2768,ga tau,enggak tahu,shorten
2303,lum,belum,shorten
2668,gni,begini,shorten
729,manggil,memanggil,affixation
1002,nganggur,menganggur,affixation
976,ngilang,menghilang,affixation
2702,ga punya,enggak punya,shorten
2775,nda,ndak,shorten
1492,nabrak,menabrak,affixation
3001,ga jadi,enggak jadi,shorten
1003,kluar,keluar,disemvoweling
2548,sam sek,sama sekali,acronym
x,btuh,butuh,disemvoweling
2531,prewed,pre-wedding,shorten
727,lama2,lama-lama,space-dash
2290,baperan,bawa perasaan,acronym
2688,ngeteh,mengeteh,affixation
1502,nyiapin,menyiapkan,affixation
1482,nugas,menugas,affixation
2449,dikit2,sedikit-sedikit,space-dash
x,nyimpan,menyimpan,affixation
x,nyombong,menyombong,affixation
x,bngung,bingung,disemvoweling
1513,berkali2,berkali-kali,space-dash
2247,mahami,memahami,affixation
474,negri,negeri,disemvoweling
2766,emg,memg,shorten
979,tdur,tidur,disemvoweling
x,layang2,layang-layang,space-dash
2234,klian,kalian,disemvoweling
3011,temani,temeni,sound-alter
2543,terimakasi,terimakasih,sound-alter
810,yakan,iyakan,shorten
722,nitip,menitip,affixation
1277,hilih,halah,sound-alter
72,dapet,dapat,sound-alter
692,anget,hangat,sound-alter
1256,mikirnya,pikirnya,sound-alter
1054,walopun,walaupun,sound-alter
1046,walhamdulillah,alhamdulilah,sound-alter
x,waaaah,wah,sound-alter
619,sukak,suka,sound-alter
1276,aqui,akui,sound-alter
30,que,kue,sound-alter
1686,qaqa,kakak,sound-alter
951,baruu,baru,sound-alter
796,pegel,pegal,sound-alter
1451,taik,tahi,sound-alter
857,sperti,seperti,sound-alter
2962,selow,slow,sound-alter
x,kawanqu,kawanku,sound-alter
2916,dapetin,dapat,sound-alter
550,cemilan,camilan,sound-alter
1271,xtra,ekstra,sound-alter
168,maap,maaf,sound-alter
2892,shopz,shops,sound-alter
552,berantem,berhantam,sound-alter
800,oalah,walah,sound-alter
928,wahh,wah,sound-alter
566,suroboyo,surabaya,sound-alter
215,dateng,datang,sound-alter
1274,cieee,ciye,sound-alter
1684,bersholawat,berselawat,sound-alter
787,sutera,sutra,sound-alter
205,deket,dekat,sound-alter
802,ketauan,ketahuan,sound-alter
2887,koq,kok,sound-alter
2244,openbooking,open booking,space-dash
2822,gaada,ga ada,space-dash
1919,dikosan,di kos,space-dash
306,1007mb,1007 mb,space-dash
2323,dsni,d sni,space-dash
2547,samsek,sam sek,space-dash
1457,ditangan,di tangan,space-dash
1446,dipagi,di pagi,space-dash
454,6kmh,6 kmh,space-dash
1868,hari2,hari-hari,space-dash
298,diaplikasi,di aplikasi,space-dash
1862,diposisi,di posisi,space-dash
2544,terimakasih,terima kasih,space-dash
677,dihari,di hari,space-dash
x,didapur,di dapur,space-dash
2539,gaperlu,ga perlu,space-dash
2827,gausah,ga usah,space-dash
613,22c,22 c,space-dash
431,dipasaran,di pasaran,space-dash
438,ibukota,ibu kota,space-dash
x,kilab,balik,rev
x,urab,baru,rev
x,libom,mobil,rev
x,rotom,motor,rev
x,nakam,makan-makan,rev
x,enam,mane,rev
x,anam,mana,rev
x,utas,satu,rev
x,aud,dua,rev
x,agit,tiga,rev
x,sutup,putus,rev
x,ucul,lucu,rev
x,ledom,model,rev
x,naracap,pacaran,rev
x,kinap,panik,rev
x,ngab,bangsat,rev
x,ngalam,malang,rev
x,arek,kera,rev
x,ipok,kopi,rev
x,edapes,sepeda,rev
x,asaib,biasa,rev
x,rudit,tidur,rev
x,isilop,polisi,rev
x,thankyou,thank you,space-dash
x,terimakasih,terima kasih,space-dash
x,betulin,betul,affixation
2661,rasain,merasakan,affixation
1267,nemuin,menemukan,affixation
2840,ngeliat,melihat,affixation
x,ngecap,mengecap,affixation
x,ttpi,tetapi,disemvoweling
13,jl,jalan,disemvoweling
1443,malem2,malem-malem,space-dash
x,malem-malem,malam-malam,sound-alter
377,kmrn,kemarin,disemvoweling
2704,cwe,cewek,disemvoweling
319,br,baru,disemvoweling
x,kta,kita,disemvoweling
391,bnyk,banyak,disemvoweling
926,mgkn,mungkin,disemvoweling
1317,sndri,sendiri,disemvoweling
297,pdhl,padahal,disemvoweling
3005,klau,kalau,disemvoweling
397,brp,berapa,disemvoweling
1949,mkan,makan,disemvoweling
1908,mgkin,mungkin,disemvoweling
249,hr,hari,disemvoweling
x,ngab,bang,rev
2709,bc,because,shorten
x,nebus,menebus,affixation
x,ngundan,mengundang,shorten
876,knapa,kenapa,disemvoweling
639,yuuk,ayo,sound-alter
703,hahahha,hahaha,sound-alter
1268,iyaaaa,iya,sound-alter
623,nie,ini,sound-alter
956,pagii,pagi,sound-alter
862,ajaaa,saja,sound-alter
853,heheh,hahaha,sound-alter
1478,adaa,ada,sound-alter
1039,baek,baik,sound-alter
721,yha,iya,sound-alter
1064,gilak,gila,sound-alter
838,iyah,iya,sound-alter
914,gass,gas,sound-alter
57,mo,mau,sound-alter
1043,pagiii,pagi,sound-alter
848,ituu,itu,sound-alter
51,yo,ya,sound-alter
1037,yeee,iya,sound-alter
719,teros,terus,sound-alter
1438,hahhaha,hahaha,sound-alter
948,samaan,sama,sound-alter
953,akuuu,aku,sound-alter
214,waroeng,warung,sound-alter
55,aamiin,amin,sound-alter
638,amiin,amin,sound-alter
2905,kedepannya,ke depan,space-dash
1384,insyallah,insya allah,space-dash
x,ngepak,mengepak,affixation
1009,ktemu,bertemu,affixation
x,ngotorin,mengotori,affixation
2329,nganter,mengantar,affixation
2338,ngepost,post,affixation
406,smg,semoga,disemvoweling
251,lgsg,langsung,disemvoweling
913,sk,suka,disemvoweling
1,yg,yang,disemvoweling
x,kykny,kayaknya,disemvoweling
392,bnyak,banyak,disemvoweling
x,bkp,bokap,disemvoweling
27,utk,untuk,disemvoweling
204,krna,karena,disemvoweling
x,kmrn,kemarin,disemvoweling
18,dr,dari,disemvoweling
246,bsa,bisa,disemvoweling
98,dlm,dalam,disemvoweling
2450,ngmg,ngomong,disemvoweling
889,dng,dengan,disemvoweling
x,ckp,cukup,disemvoweling
109,pd,pada,disemvoweling
3029,msi,masih,shorten
23,udh,sudah,shorten
473,hy,hai,sound-alter
6,udah,sudah,shorten
x,begimane,bagaimana,sound-alter
320,takkan,tak akan,shorten
520,org2,orang-orang,space-dash
625,lheue,lho,sound-alter
50,se,sih,sound-alter
792,kelen,kalian,sound-alter
693,lhok,lho,sound-alter
867,rumoh,rumah,sound-alter
697,akuu,aku,sound-alter
549,soleh,saleh,sound-alter
716,jugaa,juga,sound-alter
1262,lahhh,lah,sound-alter
2894,blom,belum,sound-alter
2914,geesss,guys,sound-alter
150,hallo,halo,sound-alter
915,ea,iya,sound-alter
20,yaa,ya,sound-alter
864,qta,kita,sound-alter
1441,ehehe,hehe,sound-alter
834,wkkw,hahaha,sound-alter
715,mantab,mantap,sound-alter
x,hohoho,hahaha,sound-alter
2880,hihi,hahaha,sound-alter
1069,teruss,terus,sound-alter
149,hehehe,hahaha,sound-alter
143,wkwkwkwk,hahaha,sound-alter
628,anjay,anjing,sound-alter
626,lahh,lah,sound-alter
1047,lagiii,lagi,sound-alter
879,ahahaha,hahaha,sound-alter
1687,iniii,ini,sound-alter
794,anjeng,anjing,sound-alter
627,gasss,gas,sound-alter
209,iii,ih,sound-alter
947,inii,ini,sound-alter
1266,alhamdulillaah,alhamdulillah,sound-alter
x,bls,balas,disemvoweling
37,disini,di sini,space-dash
x,gamasalah,ga masalah,space-dash
